,team_id,team_name,color1,color2
0,8456,Manchester City,#00285e,#97c1e7
1,8650,Liverpool,#00B2A9,#C8102E
2,8455,Chelsea,#d1d3d4,#034694
3,8586,Tottenham Hotspurs,#0e9ca5,#132257
4,9825,Arsenal,#063672,#db0007
5,10260,Manchester United,#DBA111,#da020e
6,8654,Westham United,#2dafe5,#7c2c3b
7,8197,Leicester City,#fdbe11,#0053a0
8,10204,Brighton & Hove Albion,#EBEBE9,#005daa
9,8602,Wolverhampton Wanderers,#FEB308,#20231A
10,10261,Newcastle United,#171614,#FBFBFB
11,9826,Crystal Palace,#EE2D24,#012F91
12,10252,Aston Villa,#93BFE4,#491149
13,8466,Southampton,#D71921,#FFFFFF
14,8668,Everton,#BFC2FF,#010395
