,nt_name,nt_url,flag_url,squad_url
0,Netherlands,https://www.transfermarkt.com/niederlande/spielplan/verein/3379/saison_id/2021,,https://www.transfermarkt.com/niederlande/kader/verein/3379/saison_id/2021/plus/1
1,Senegal,https://www.transfermarkt.com/senegal/spielplan/verein/3499/saison_id/2021,,https://www.transfermarkt.com/senegal/kader/verein/3499/saison_id/2021/plus/1
2,Ecuador,https://www.transfermarkt.com/ecuador/spielplan/verein/5750/saison_id/2021,,https://www.transfermarkt.com/ecuador/kader/verein/5750/saison_id/2021/plus/1
3,Qatar,https://www.transfermarkt.com/katar/spielplan/verein/14162/saison_id/2021,,https://www.transfermarkt.com/katar/kader/verein/14162/saison_id/2021/plus/1
4,England,https://www.transfermarkt.com/england/spielplan/verein/3299/saison_id/2021,,https://www.transfermarkt.com/england/kader/verein/3299/saison_id/2021/plus/1
5,United States,https://www.transfermarkt.com/vereinigte-staaten/spielplan/verein/3505/saison_id/2021,,https://www.transfermarkt.com/vereinigte-staaten/kader/verein/3505/saison_id/2021/plus/1
6,Iran,https://www.transfermarkt.com/iran/spielplan/verein/3582/saison_id/2021,,https://www.transfermarkt.com/iran/kader/verein/3582/saison_id/2021/plus/1
7,Wales,https://www.transfermarkt.com/wales/spielplan/verein/3864/saison_id/2021,,https://www.transfermarkt.com/wales/kader/verein/3864/saison_id/2021/plus/1
8,Argentina,https://www.transfermarkt.com/argentinien/spielplan/verein/3437/saison_id/2021,,https://www.transfermarkt.com/argentinien/kader/verein/3437/saison_id/2021/plus/1
9,Poland,https://www.transfermarkt.com/polen/spielplan/verein/3442/saison_id/2021,,https://www.transfermarkt.com/polen/kader/verein/3442/saison_id/2021/plus/1
10,Saudi Arabia,https://www.transfermarkt.com/saudi-arabien/spielplan/verein/3807/saison_id/2021,,https://www.transfermarkt.com/saudi-arabien/kader/verein/3807/saison_id/2021/plus/1
11,Mexico,https://www.transfermarkt.com/mexiko/spielplan/verein/6303/saison_id/2021,,https://www.transfermarkt.com/mexiko/kader/verein/6303/saison_id/2021/plus/1
12,France,https://www.transfermarkt.com/frankreich/spielplan/verein/3377/saison_id/2021,,https://www.transfermarkt.com/frankreich/kader/verein/3377/saison_id/2021/plus/1
13,Australia,https://www.transfermarkt.com/australien/spielplan/verein/3433/saison_id/2021,,https://www.transfermarkt.com/australien/kader/verein/3433/saison_id/2021/plus/1
14,Denmark,https://www.transfermarkt.com/danemark/spielplan/verein/3436/saison_id/2021,,https://www.transfermarkt.com/danemark/kader/verein/3436/saison_id/2021/plus/1
15,Tunisia,https://www.transfermarkt.com/tunesien/spielplan/verein/3670/saison_id/2021,,https://www.transfermarkt.com/tunesien/kader/verein/3670/saison_id/2021/plus/1
16,Germany,https://www.transfermarkt.com/deutschland/spielplan/verein/3262/saison_id/2021,,https://www.transfermarkt.com/deutschland/kader/verein/3262/saison_id/2021/plus/1
17,Spain,https://www.transfermarkt.com/spanien/spielplan/verein/3375/saison_id/2021,,https://www.transfermarkt.com/spanien/kader/verein/3375/saison_id/2021/plus/1
18,Japan,https://www.transfermarkt.com/japan/spielplan/verein/3435/saison_id/2021,,https://www.transfermarkt.com/japan/kader/verein/3435/saison_id/2021/plus/1
19,Costa Rica,https://www.transfermarkt.com/costa-rica/spielplan/verein/8497/saison_id/2021,,https://www.transfermarkt.com/costa-rica/kader/verein/8497/saison_id/2021/plus/1
20,Belgium,https://www.transfermarkt.com/belgien/spielplan/verein/3382/saison_id/2021,,https://www.transfermarkt.com/belgien/kader/verein/3382/saison_id/2021/plus/1
21,Canada,https://www.transfermarkt.com/kanada/spielplan/verein/3510/saison_id/2021,,https://www.transfermarkt.com/kanada/kader/verein/3510/saison_id/2021/plus/1
22,Croatia,https://www.transfermarkt.com/kroatien/spielplan/verein/3556/saison_id/2021,,https://www.transfermarkt.com/kroatien/kader/verein/3556/saison_id/2021/plus/1
23,Morocco,https://www.transfermarkt.com/marokko/spielplan/verein/3575/saison_id/2021,,https://www.transfermarkt.com/marokko/kader/verein/3575/saison_id/2021/plus/1
24,Switzerland,https://www.transfermarkt.com/schweiz/spielplan/verein/3384/saison_id/2021,,https://www.transfermarkt.com/schweiz/kader/verein/3384/saison_id/2021/plus/1
25,Cameroon,https://www.transfermarkt.com/kamerun/spielplan/verein/3434/saison_id/2021,,https://www.transfermarkt.com/kamerun/kader/verein/3434/saison_id/2021/plus/1
26,Serbia,https://www.transfermarkt.com/serbien/spielplan/verein/3438/saison_id/2021,,https://www.transfermarkt.com/serbien/kader/verein/3438/saison_id/2021/plus/1
27,Brazil,https://www.transfermarkt.com/brasilien/spielplan/verein/3439/saison_id/2021,,https://www.transfermarkt.com/brasilien/kader/verein/3439/saison_id/2021/plus/1
28,Portugal,https://www.transfermarkt.com/portugal/spielplan/verein/3300/saison_id/2021,,https://www.transfermarkt.com/portugal/kader/verein/3300/saison_id/2021/plus/1
29,Ghana,https://www.transfermarkt.com/ghana/spielplan/verein/3441/saison_id/2021,,https://www.transfermarkt.com/ghana/kader/verein/3441/saison_id/2021/plus/1
30,Uruguay,https://www.transfermarkt.com/uruguay/spielplan/verein/3449/saison_id/2021,,https://www.transfermarkt.com/uruguay/kader/verein/3449/saison_id/2021/plus/1
31,South Korea,https://www.transfermarkt.com/sudkorea/spielplan/verein/3589/saison_id/2021,,https://www.transfermarkt.com/sudkorea/kader/verein/3589/saison_id/2021/plus/1
